Element,Units,STGFrm,STGCco,STGCrl,STGLim,STGTE_old,STGTE_8301fcorr,8301f,8301c,CS1,CS2,CS3,JCP
Li,umol/mol,12.15545657,2.861560264,8.950973891,4.89360976,20.711,21.27,9.01,5.4,12.57,28.5,39.4,5.428571429
Be,,,,,,,,,,,,,
B,umol/mol,164.4651622,38.71734232,497.4926455,97.48144086,86.1,89.18,138.9,528.1,205.81,497.75,38.92,436.3636364
Na,mmol/mol,5.72730968,0.82573564,20.66895729,3.942982227,8.09,8.41,3.06,20.04,5.37,10.34,15.89,18.87096774
Mg,mmol/mol,3.068086949,0.205912369,3.887121103,7.876504272,5.382,5.49,2.62,4.11,1.34,3.31,7.55,4
Al,umol/mol,37.28770352,13.76593415,106.8949721,2448.217291,42.382,54.11,90.91,48.13,19.95,45.86,100.28,1764.705882
Si,,,,,,,,,,,,,6000
P,umol/mol,20.46759674,4.818351429,20.35502473,609.2509922,,,,,,,,19.27710843
S,mmol/mol,1.024116975,0.511956156,6.670657831,1.974135182,,,,,,,,5.9375
Cl,,,,,,,,,,,,,
K,umol/mol,152.9808491,78.2280239,203.5021542,2967.308948,,,,,,,,468.0851064
Ca,,,,,,,,,,,,,
Sc,umol/mol,0.140361888,0.281904994,0.201034472,3.240272292,,,,,,,,
Ti,,,,,,,,,,,,,
V,,,,,,,,,,,,,0.31372549
Cr,,,,,,,,,,,,,0.264150943
Mn,umol/mol,142.5833679,49.46912455,2.125068315,400.7200227,58.634,58.34,49.4,2.59,14.55,27.31,37.38,0.945454545
Fe,umol/mol,8.113979546,2.567388628,21.10389204,1935.986224,,,25.42,15.44,,,,84.61538462
Co,umol/mol,2.066540887,0.525604214,0.457853241,1.778373611,,,,,,,,0.881355932
Ni,umol/mol,10.34175128,2.584663527,5.288034408,18.805,,,,,,,,7
Cu,umol/mol,1.017836333,0.253356749,1.023435368,11.36217499,,,,,,,,1.079365079
Zn,umol/mol,5.082576531,1.196507836,20.18366919,27.579195,,,,,,,,0.769230769
Ga,,,,,,,,,,,,,
Ge,,,,,,,,,,,,,
As,,,,,,,,,,,,,
Se,,,,,,,,,,,,,
Br,,,,,,,,,,,,,
Rb,umol/mol,0.203476691,0.049098767,0.051931736,7.264203127,,,,,,,,0.096470588
Sr,mmol/mol,1.407912998,2.582908465,8.767337913,0.697397757,1.488,1.53,1.34,8.1,0.47,0.91,1.84,8.267045455
Y,umol/mol,0.073332863,0.144890404,0.089742704,1.631433135,,,,,,,,
Zr,,,,,,,,,,,,,0.466666667
Nb,,,,,,,,,,,,,
Mo,umol/mol,0.161297456,0.082732244,0.068702229,0.381541018,,,,,,,,0.073684211
Tc,,,,,,,,,,,,,
Ru,,,,,,,,,,,,,
Rh,,,,,,,,,,,,,
Pd,,,,,,,,,,,,,
Ag,,,,,,,,,,,,,0.013084112
Cd,umol/mol,0.182803757,0.044499411,0.021951737,0.274596124,0.14,0.143,0.58,0.2,0.04,0.1,0.18,0.028828829
In,,,,,,,,,,,,,
Sn,,,,,,,,,,,,,0.051694915
Sb,,,,,,,,,,,,,
Te,,,,,,,,,,,,,
In,,,,,,,,,,,,,
Cs,,,,,,,,,,,,,0.001654135
Ba,umol/mol,2.021393079,0.520409206,1.075371183,4.921701977,1.277,3,3.9,5.92,1.57,2.45,3.04,5.839416058
La,umol/mol,0.091270048,0.136806178,0.101633825,1.085466927,,,,,,,,
Ce,umol/mol,1.050559496,1.089991813,1.057819091,2.03887661,,,,,,,,
Pr,umol/mol,0.043483198,0.088648861,0.055139518,1.024724763,,,,,,,,
Nd,umol/mol,0.854073956,0.277982034,0.052601474,0.999774637,5.629,5.611,5.06,0.16,1.14,7.79,11.22,
Pm,,,,,,,,,,,,,
Sm,umol/mol,0.050425134,0.092693724,0.05041087,0.959031597,,,,,,,,
Eu,umol/mol,0.040406326,0.082285189,0.050014576,0.949045505,,,,,,,,
Gd,umol/mol,0.044009936,0.084451518,0.053279622,0.922118991,,,,,,,,
Tb,umol/mol,0.038506247,0.078551568,0.047495198,0.907146124,,,,,,,,
Dy,umol/mol,0.037719549,0.076883513,0.04670504,0.887445169,,,,,,,,
Ho,umol/mol,0.036999032,0.075586953,0.045852652,0.874204734,,,,,,,,
Er,umol/mol,0.03712691,0.075173688,0.045855228,0.862676748,,,,,,,,
Tm,umol/mol,0.036037161,0.073710993,0.050584616,0.859338281,,,,,,,,
Yb,umol/mol,0.040219614,0.076968467,0.04864248,0.833125474,,,,,,,,
Lu,umol/mol,0.035775692,0.072144707,0.04411861,0.824958446,,,,,,,,
Hf,,,,,,,,,,,,,
Ta,,,,,,,,,,,,,
W,,,,,,,,,,,,,0.153846154
Re,,,,,,,,,,,,,
O,,,,,,,,,,,,,
Ir,,,,,,,,,,,,,
Pt,,,,,,,,,,,,,
Au,,,,,,,,,,,,,
Hg,nmol/mol,5.107597442,1.205344849,5.014631088,4.78838274,,,,,,,,
Tl,nmol/mol,5.064810352,1.195247499,4.987634854,50.50978641,,,,,,,,
Pb,,,,,,,,,,,,,0.086538462
Bi,,,,,,,,,,,,,
Po,,,,,,,,,,,,,
At,,,,,,,,,,,,,
Fr,,,,,,,,,,,,,
Ra,,,,,,,,,,,,,
Ac,,,,,,,,,,,,,
Th,nmol/mol,26.23669216,53.6649554,32.5299482,621.3136818,,,,,,,,
Pa,,,,,,,,,,,,,
U,nmol/mol,30.6,56.49239216,1056.223316,607.4964886,159.567,159.928,68.7,828.9,3.96,23.39,47.59,1218.487395
